f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,target
52.843,66.492,57.3,25.224,39.213,56.593,27.157,67.453,55.69,36.504,64.123,46.375,78.489,36.789,55.797,43.135,37.513,64.094,43.039,42.852,148.76994
50.478,53.147,46.412,38.045,52.16,50.398,60.157,44.022,48.668,45.512,54.922,61.904,46.994,35.492,55.057,43.859,54.722,51.982,43.31,46.613,152.0125
16.432,30.201,43.268,76.786,58.864,24.046,46.519,63.948,50.19,65.539,52.754,27.011,26.714,66.842,32.628,47.996,75.92,24.627,56.853,65.18,141.96694
39.355,33.501,76.737,57.453,58.991,49.938,42.713,71.836,47.394,64.772,15.456,44.349,45.166,85.341,32.967,26.003,40.192,41.518,74.502,37.807,152.49692
30.337,62.905,70.896,35.969,45.878,56.114,45.075,61.684,58.865,41.36,59.412,45.491,65.265,48.155,49.756,48.782,44.316,43.562,41.068,52.805,149.0162
41.898,41.091,74.267,37.9,50.208,62.054,30.631,59.373,58.779,49.278,39.228,50.441,89.72,39.303,52.001,48.819,47.87,40.57,33.779,50.254,167.76408
48.838,40.181,38.095,44.311,48.734,58.554,61.701,61.898,57.244,46.043,46.853,49.965,40.595,50.727,56.721,34.986,44.029,44.416,66.054,43.705,145.69606
41.661,48.74,47.234,34.544,39.571,40.305,62.596,53.978,52.873,42.33,59.511,53.518,32.758,36.796,56.917,31.748,45.874,59.336,57.254,48.371,151.6764
25.331,31.397,42.717,57.256,58.867,62.097,39.322,60.306,76.453,63.161,49.173,41,37.878,83.782,35.743,38.36,54.984,30.69,56.333,50.592,158.62062
39.566,30.754,65.749,76.306,42.515,47.297,47.693,58.611,54.567,41.274,44.737,50.783,47.741,47.559,32.426,60.153,70.261,38.43,50.103,61.368,153.97556
63.298,40.436,42.765,43.454,61.003,28.887,70.177,59.077,39.008,40.237,58.225,62.9,65.626,55.587,42.892,52.336,53.446,46.957,59.575,41.351,149.54468
25.317,40.891,49.377,29.193,44.639,50.18,58.727,59.308,59.109,41.148,59.066,37.917,46.026,32.578,57.479,34.765,43.52,43.642,61.759,61.035,142.12796
53.297,30.446,43.037,34.055,26.649,49.824,55.338,39.036,55.947,31.287,62.992,62.216,40.359,14.01,72.851,30.45,51.267,67.105,45.112,48.542,144.652
42.753,37.855,46.296,55.282,45.164,26.544,63.046,54.518,48.236,37.063,58.265,42.694,34.82,59.679,45.901,41.388,51.696,48.745,63.971,47.595,143.42846
63.164,30.979,38.376,43.33,60.302,58.85,56.64,60.427,58.018,39.187,45.096,48.144,40.747,58.401,57.677,35.423,34.741,61.25,76.828,59.459,152.35424
